"locus_tag","logFC","logCPM","LR","PValue","q.value"
"BW25113_4314",0.544229722546119,8.47738789474554,9.73632519095074,0.00180661718129493,0.0301930896423915
"BW25113_4315",0.192715053350797,8.5690999214973,1.01844246416474,0.312888746108883,0.75237878401546
"BW25113_4316",-0.186844278643681,6.8350821312628,0.317844241783174,0.572906065886267,0.896846688131305
"BW25113_4317",0.231276714102571,11.044222799647,1.95397696263078,0.162158938949822,0.574509940459695
"BW25113_4318",-0.367288945061559,6.50055456645862,3.04245653025566,0.0811130845547803,0.404072730146234
"BW25113_4319",0.027499286302148,6.86170595987144,0.0156272962058708,0.900516279212509,0.976452497610198
"BW25113_4320",0.360605884030619,9.65719436148272,3.29686322451786,0.0694123157031139,0.368758673225417
"BW25113_4321",0.176239656943094,8.89264295232515,1.05477454266074,0.304410023687935,0.744277969453324
"BW25113_4322",0.0499713063249238,8.63209122246022,0.0789993415872026,0.778658079462968,0.951211416861626
"BW25113_4323",0.476561937691524,8.33831926373285,5.39021520643113,0.0202499732280029,0.176816067240918
"BW25113_4324",-0.0202080217622323,8.08441014127852,0.0106445148243495,0.917826257286509,0.97955281144161
"BW25113_4325",0.199794461173568,4.57280437418441,0.374680048600159,0.540464227096394,0.879006565570445
"BW25113_4326",0.0330755786410753,8.15931342754787,0.0312811563002811,0.859614590832639,0.971214133986996
