"locus_tag","logFC","logCPM","Pvalue","q.value"
"BW25113_3957",0.196536962734522,9.1743503600489,0.828741061504765,0.362636816960194
"BW25113_3958",0.163479418613303,9.05408429644753,0.672671879590713,0.412121616354588
"BW25113_3959",-0.0351584655359594,8.49324487593956,0.0306332947564911,0.861061012918267
"BW25113_3960",-0.00545203526162281,9.344833155928,0.0006452127518628,0.979735082851856
"BW25113_4458",0.166683038836004,3.89841154621757,0.194145095693244,0.659488851548374
"BW25113_3961",0.00534953827842425,9.47432512435553,0.000759369859464343,0.978015743783402
"BW25113_3962",0.183272431630192,7.8888927992997,0.722924557089419,0.395186273777005
"BW25113_3963",0.0562792828276246,8.38390222795747,0.0768405590943484,0.781625543727729
"BW25113_3964",-0.00359246782401889,8.43764678430649,0.000320091487992613,0.985725728408616
"BW25113_3965",0.145640275178437,9.32723342875381,0.523670128634667,0.469280294684074
"BW25113_3966",0.0685437508040264,10.2733573671773,0.127669406531311,0.720860822988033
"BW25113_3971",-2.38712157615539,1.42869388145183,9.12196039616542,0.00252559169135464
"BW25113_3973",-0.671035861628082,3.34131315781151,3.14498471856321,0.0761607142483083
"BW25113_3977",2.77028141615459,2.64311714513614,12.4697487649617,0.000413595716387189
"BW25113_3979",0.402964914831362,5.66011032102582,2.20136182595622,0.137888871902253
"BW25113_3980",0.372895015316087,4.98028149302595,1.81699073610674,0.177671895600215
"BW25113_3984",5.33193867273661,1.04483677338585,11.6782411379823,0.000632352844776692
"BW25113_3987",4.19223468214125,2.10519295018838,14.7917736194562,0.000120058093762223
"BW25113_3989",-0.34954300833076,8.29491239134399,2.64277533027952,0.104021683282576
"BW25113_4691",0.743331267631768,6.0178925902991,4.80773038340691,0.0283323367367384
"BW25113_3990",-0.0436013959551632,8.50362132506588,0.0443540854566642,0.833196215475216
"BW25113_3991",-0.0270163300330432,7.47898772222699,0.0129339860271855,0.909453666519425
"BW25113_4407",-0.524421713611059,5.76716406632021,4.55229083484252,0.0328747340289677
"BW25113_3992",0.055066180125343,8.35965305694165,0.0593471132008005,0.807530846102577
"BW25113_3993",-0.259082042937308,8.17417150126552,1.62700444249548,0.202117877372473
"BW25113_3994",-0.0532904654389535,9.51003346290615,0.065851387064082,0.797475800547647
"BW25113_3995",-0.165297672499648,7.22181319464486,0.446881107588223,0.503819799929214
"BW25113_3996",-0.151966993641535,8.32646557306111,0.512258262069601,0.474162902446404
"BW25113_3998",-0.0106296788049361,8.22877329374893,0.00241500755278423,0.960805553820729
"BW25113_3999",-0.20513172627781,6.79859634766306,0.807644163347344,0.368817672398629
"BW25113_4000",-2.76084529173202,6.29058814597158,57.6543960604682,3.12463849030405e-14
"BW25113_4001",-0.0520184881436646,8.2947960473238,0.0684190551451582,0.793652695055108
"BW25113_4002",-0.215409454529332,7.13068830322054,0.802357235203635,0.370389528155554
"BW25113_4003",0.0420167968760527,8.86472548118755,0.046048261280099,0.830088093621115
"BW25113_4004",-0.260248720704451,8.84190496439818,1.25384507755785,0.262819357029751
"BW25113_4005",0.539581895546355,5.64920293251924,4.17156447090328,0.0411078248984426
"BW25113_4006",1.85775329803071,6.31840318034048,41.3371513327848,1.2811076921795e-10
"BW25113_4010",0.84935777152504,2.39733681296407,2.51604544676836,0.112692875077123
"BW25113_4011",0.177599058604895,5.06782436080805,0.439392090778635,0.507416013257864
"BW25113_4012",0.147120514315083,4.74170871615296,0.237886524284538,0.62573676271783
"BW25113_4013",-0.237331114769428,6.90558543535462,1.13772365617208,0.286133844737576
"BW25113_4014",-0.0368989993199962,7.9702324692017,0.0335866163914602,0.854588904693266
"BW25113_4015",0.315988822302619,7.86101385098163,1.9455407527377,0.163068188596811
"BW25113_4016",0.0657660106091574,8.03414337229847,0.0696943095773275,0.79178238575584
"BW25113_4017",-0.26082541337855,5.51706147099172,0.959195864073821,0.327389562438158
"BW25113_4018",0.194232153984281,8.56943460256515,0.963015748601872,0.326428229896375
"BW25113_4019",0.18345149869518,10.103444345795,0.905265827856155,0.341373662178724
